Country,year,Adult_Literacy_Rate,Youth_Literacy_Rate_Male,Youth_Literacy_Rate_Female,Literacy_Gender_Gap,Education_Index,Youth_Literacy_Avg,Literacy_Growth_Rate
Afghanistan,1979,18.0,46.0,11.0,35.0,25.0,28.5,0.0
Afghanistan,2011,31.0,62.0,32.0,30.0,41.666666666666664,47.0,72.22222222222223
Afghanistan,2015,33.75384,57.73505,25.48416,32.25089,38.99101666666667,41.609605,8.883354838709657
Afghanistan,2021,37.0,71.0,42.0,29.0,50.0,56.5,9.61715763302784
Afghanistan,2022,37.0,83.4,44.17171,39.22829000000001,54.857236666666665,63.785855,0.0
Albania,2001,99.0,99.0,99.0,0.0,99.0,99.0,0.0
Albania,2005,97.5,94.4,99.49,-5.089999999999989,97.13,96.945,-1.5151515151515138
Albania,2008,96.0,99.0,99.0,0.0,98.0,99.0,-1.538461538461533
Albania,2009,96.5,94.82,96.61,-1.7900000000000063,95.97666666666667,95.715,0.5208333333333259
Albania,2011,97.0,99.0,99.0,0.0,98.33333333333333,99.0,0.5181347150259086
Albania,2012,97.0,99.0,99.0,0.0,98.33333333333333,99.0,0.0
Albania,2017,98.81623,98.58999,99.52556,-0.9355699999999985,98.97726,99.05777499999999,1.8724020618556825
Algeria,1987,50.0,86.0,62.0,24.0,66.0,74.0,0.0
Algeria,2002,70.0,94.0,86.0,8.0,83.33333333333333,90.0,39.99999999999999
Algeria,2006,73.0,94.0,89.0,5.0,85.33333333333333,91.5,4.285714285714293
Algeria,2008,75.0,96.0,92.0,4.0,87.66666666666667,94.0,2.7397260273972712
Algeria,2019,75.0,64.79,97.9897,-33.19969999999999,79.2599,81.38985,0.0
American Samoa,1980,97.0,98.0,97.0,1.0,97.33333333333333,97.5,0.0
Angola,2001,67.0,84.0,63.0,21.0,71.33333333333333,73.5,0.0
Angola,2014,66.0,85.0,71.0,14.0,74.0,78.0,-1.4925373134328401
Angola,2015,66.23586,83.96919,67.4276,16.54159,72.54421666666667,75.698395,0.3573636363636501
Anguilla,1984,95.0,99.0,99.0,0.0,97.66666666666667,99.0,0.0
Antigua And Barbuda,2001,99.0,89.5865878021978,84.05225209790208,5.534335704295714,90.87961330003331,86.81941995004993,0.0
Argentina,1980,94.0,96.0,97.0,-1.0,95.66666666666667,96.5,0.0
Argentina,1991,96.0,98.0,99.0,-1.0,97.66666666666667,98.5,2.127659574468077
Argentina,2001,97.0,99.0,99.0,0.0,98.33333333333333,99.0,1.041666666666674
Armenia,1989,99.0,100.0,100.0,0.0,99.66666666666667,100.0,0.0
Armenia,2000,99.0,100.0,100.0,0.0,99.66666666666667,100.0,0.0
Armenia,2001,99.0,100.0,100.0,0.0,99.66666666666667,100.0,0.0
Armenia,2011,100.0,100.0,100.0,0.0,100.0,100.0,1.0101010101010166
Armenia,2016,100.0,100.0,100.0,0.0,100.0,100.0,0.0
Armenia,2017,100.0,100.0,100.0,0.0,100.0,100.0,0.0
Armenia,2020,100.0,100.0,100.0,0.0,100.0,100.0,0.0
Armenia,2022,99.825,99.64871,99.91656,-0.2678500000000099,99.79675666666667,99.782635,-0.17499999999999183
Aruba,2000,97.0,99.0,99.0,0.0,98.33333333333333,99.0,0.0
Aruba,2010,97.0,99.0,99.0,0.0,98.33333333333333,99.0,0.0
Azerbaijan,1999,99.0,100.0,100.0,0.0,99.66666666666667,100.0,0.0
Azerbaijan,2006,99.5,100.0,100.0,0.0,99.83333333333333,100.0,0.5050505050504972
Azerbaijan,2007,100.0,100.0,100.0,0.0,100.0,100.0,0.5025125628140614
Azerbaijan,2009,100.0,100.0,100.0,0.0,100.0,100.0,0.0
Azerbaijan,2010,100.0,100.0,100.0,0.0,100.0,100.0,0.0
Azerbaijan,2011,100.0,100.0,100.0,0.0,100.0,100.0,0.0
Azerbaijan,2012,100.0,100.0,100.0,0.0,100.0,100.0,0.0
Azerbaijan,2013,100.0,100.0,100.0,0.0,100.0,100.0,0.0
Azerbaijan,2014,100.0,100.0,100.0,0.0,100.0,100.0,0.0
Azerbaijan,2015,100.0,100.0,100.0,0.0,100.0,100.0,0.0
Azerbaijan,2016,100.0,100.0,100.0,0.0,100.0,100.0,0.0
Azerbaijan,2017,100.0,100.0,100.0,0.0,100.0,100.0,0.0
Azerbaijan,2019,100.0,100.0,100.0,0.0,100.0,100.0,0.0
Azerbaijan,2023,100.0,100.0,100.0,0.0,100.0,100.0,0.0
Bahrain,1981,70.0,90.0,82.0,8.0,80.66666666666667,86.0,0.0
Bahrain,1991,84.0,97.0,97.0,0.0,92.66666666666667,97.0,19.999999999999996
Bahrain,2001,87.0,97.0,97.0,0.0,93.66666666666667,97.0,3.571428571428581
Bahrain,2022,98.0,99.0,99.0,0.0,98.66666666666667,99.0,12.643678160919535
Bahrain,2023,98.0,99.0,99.0,0.0,98.66666666666667,99.0,0.0
Bangladesh,1981,29.0,44.0,27.0,17.0,33.333333333333336,35.5,0.0
Bangladesh,1991,35.0,52.0,38.0,14.0,41.666666666666664,45.0,20.68965517241379
Bangladesh,2000,41.0,100.0,100.0,0.0,80.33333333333333,100.0,17.14285714285715
Bangladesh,2001,47.0,67.0,60.0,7.0,58.0,63.5,14.634146341463406
Bangladesh,2006,51.0,94.4,87.2,7.200000000000003,77.53333333333335,90.80000000000001,8.51063829787233
Bangladesh,2007,55.0,90.51,77.09,13.420000000000002,74.2,83.80000000000001,7.843137254901955
Bangladesh,2011,59.0,76.0,80.0,-4.0,71.66666666666667,78.0,7.272727272727275
Bangladesh,2012,58.0,76.0,79.0,-3.0,71.0,77.5,-1.6949152542372836
Bangladesh,2013,61.0,84.0,87.0,-3.0,77.33333333333333,85.5,5.1724137931034475
Bangladesh,2014,61.0,85.0,86.0,-1.0,77.33333333333333,85.5,0.0
Bangladesh,2015,65.0,86.0,90.0,-4.0,80.33333333333333,88.0,6.557377049180335
Bangladesh,2016,73.0,91.0,94.0,-3.0,86.0,92.5,12.307692307692308
Bangladesh,2017,73.0,92.0,94.0,-2.0,86.33333333333333,93.0,0.0
Bangladesh,2018,74.0,92.0,95.0,-3.0,87.0,93.5,1.3698630136986356
Bangladesh,2019,75.0,94.0,96.0,-2.0,88.33333333333333,95.0,1.3513513513513598
Bangladesh,2020,75.0,93.0,96.0,-3.0,88.0,94.5,0.0
Bangladesh,2021,76.0,94.0,96.0,-2.0,88.66666666666667,95.0,1.333333333333342
Bangladesh,2022,79.0,92.0,94.0,-2.0,88.33333333333333,93.0,3.9473684210526327
Barbados,1970,99.0,100.0,100.0,0.0,99.66666666666667,100.0,0.0
Barbados,2012,99.0,100.0,100.0,0.0,99.66666666666667,100.0,0.0
Belarus,1989,98.0,100.0,100.0,0.0,99.33333333333333,100.0,0.0
Belarus,1999,100.0,100.0,100.0,0.0,100.0,100.0,2.0408163265306145
Belarus,2005,100.0,94.4,99.98,-5.579999999999998,98.12666666666667,97.19,0.0
Belarus,2009,100.0,100.0,100.0,0.0,100.0,100.0,0.0
Belarus,2012,100.0,100.0,100.0,0.0,100.0,100.0,0.0
Belarus,2019,100.0,100.0,100.0,0.0,100.0,100.0,0.0
Belize,1991,70.0,77.0,78.0,-1.0,75.0,77.5,0.0
Belize,2006,76.97201333333334,94.4,95.13,-0.7299999999999898,88.83400444444446,94.765,9.96001904761905
Belize,2011,83.94402666666666,94.4,96.6,-2.1999999999999886,91.6480088888889,95.5,9.057854967545765
Belize,2015,90.91604,97.82818,98.07905,-0.25086999999999193,95.60775666666666,97.953615,8.305550269846474
Benin,1979,16.0,46.0,18.0,28.0,26.666666666666668,32.0,0.0
Benin,1992,27.0,55.0,27.0,28.0,36.333333333333336,41.0,68.75
Benin,2001,31.0,61.08,31.85,29.229999999999997,41.31,46.465,14.814814814814813
Benin,2002,35.0,59.0,33.0,26.0,42.333333333333336,46.0,12.903225806451623
Benin,2006,36.935604999999995,72.07,39.53,32.53999999999999,49.511868333333325,55.8,5.530299999999988
Benin,2017,38.87121,66.79979,50.98536,15.814430000000002,52.21878666666667,58.892575,5.240485434041231
Benin,2019,48.99828,76.35444,62.76271,13.591729999999998,62.70514333333333,69.55857499999999,26.052880782460864
Benin,2021,43.83417,70.96799,59.18644,11.781550000000003,57.996199999999995,65.077215,-10.539369953394285
Benin,2022,51.37877,74.60011,67.93813,6.66198,64.63900333333333,71.26912,17.211686681873985
Bhutan,2005,53.0,80.0,68.0,12.0,67.0,74.0,0.0
Bhutan,2010,54.0,94.4,63.34,31.060000000000002,70.58,78.87,1.8867924528301883
